Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
QRTX6000_v1.1_logs,64,6010007,201.11,203.58
QRTX6000_v1.1_logs,128,5500549,217.87,220.35
QRTX6000_v1.1_logs,256,5286609,223.42,225.79
QRTX6000_v1.1_logs,256,5949374,220.94,223.15
QRTX6000_v1.1_logs,32,5396974,194.61,196.37
QRTX6000_v1.1_logs,16,5389633,191.92,194.31
QRTX6000_v1.1_logs,64,6014277,201.29,203.74
QRTX6000_v1.1_logs,128,5491923,213.77,216.92
QRTX6000_v1.1_logs,256,5538095,222.07,224.56
QRTX6000_v1.1_logs,32,5402755,189.18,191.70
QRTX6000_v1.1_logs,16,5282905,192.73,195.45
QRTX6000_v1.1_logs,32,5397759,194.38,196.04
QRTX6000_v1.1_logs,128,6021597,214.26,216.70
QRTX6000_v1.1_logs,256,6006321,219.74,222.16
QRTX6000_v1.1_logs,16,5439375,191.33,193.23
QRTX6000_v1.1_logs,128,5461189,218.29,220.75
QRTX6000_v1.1_logs,32,5360575,194.03,195.88
QRTX6000_v1.1_logs,16,5570634,192.90,194.89
QRTX6000_v1.1_logs,32,5375725,194.84,196.49
QRTX6000_v1.1_logs,64,5890273,200.05,202.43
QRTX6000_v1.1_logs,64,6028248,206.65,209.02
QRTX6000_v1.1_logs,128,5278316,218.84,221.34
QRTX6000_v1.1_logs,16,5340688,192.09,194.61
QRTX6000_v1.1_logs,32,5439314,194.80,196.64
QRTX6000_v1.1_logs,64,6005933,203.56,205.78
QRTX6000_v1.1_logs,256,5325744,222.52,225.05
QRTX6000_v1.1_logs,64,5278624,211.95,214.14
QRTX6000_v1.1_logs,256,5715135,219.88,222.31
QRTX6000_v1.1_logs,32,5503981,200.73,203.55
QRTX6000_v1.1_logs,256,5275385,223.54,226.00
QRTX6000_v1.1_logs,32,5415631,194.86,196.44
QRTX6000_v1.1_logs,64,6227190,199.57,202.35
QRTX6000_v1.1_logs,16,5332673,194.35,196.05
QRTX6000_v1.1_logs,32,5452267,193.99,195.71
QRTX6000_v1.1_logs,128,5408485,217.64,220.13
QRTX6000_v1.1_logs,32,5438114,194.80,196.53
QRTX6000_v1.1_logs,64,5978647,207.03,209.44
QRTX6000_v1.1_logs,16,5268447,193.13,195.46
QRTX6000_v1.1_logs,256,5964415,219.58,221.87
QRTX6000_v1.1_logs,16,5481695,191.97,193.62
QRTX6000_v1.1_logs,16,5333231,192.93,194.70
QRTX6000_v1.1_logs,64,6024915,201.70,204.13
QRTX6000_v1.1_logs,32,5259650,195.00,196.76
QRTX6000_v1.1_logs,64,6005907,200.08,202.54
QRTX6000_v1.1_logs,256,5336036,222.65,225.18
QRTX6000_v1.1_logs,128,6042449,211.36,213.64
QRTX6000_v1.1_logs,32,5399997,194.27,196.15
QRTX6000_v1.1_logs,32,5282911,204.57,207.33
QRTX6000_v1.1_logs,16,5447155,192.43,194.84
QRTX6000_v1.1_logs,64,5467946,207.76,210.09
